label_id,label
0,Affiliate License-Licensee
1,Affiliate License-Licensor
2,Agreement Date
3,Anti-Assignment
4,Audit Rights
5,Cap On Liability
6,Change Of Control
7,Covenant Not To Sue
8,Document Name
9,Effective Date
10,Exclusivity
11,Expiration Date
12,Governing Law
13,Insurance
14,Ip Ownership Assignment
15,Joint Ip Ownership
16,License Grant
17,Liquidated Damages
18,Minimum Commitment
19,Most Favored Nation
20,No-Solicit Of Customers
21,No-Solicit Of Employees
22,Non-Compete
23,Non-Disparagement
24,Non-Transferable License
25,Parties
26,Post-Termination Services
27,Price Restrictions
28,Renewal Term
29,Revenue/Profit Sharing
30,Rofr/Rofo/Rofn
31,Source Code Escrow
32,Termination For Convenience
33,Third Party Beneficiary
34,Uncapped Liability
35,Unlimited/All-You-Can-Eat-License
36,Volume Restriction
37,Warranty Duration
